characteristic,word,congruency,congruency_side,answer_key
living,alligator,congruent,left,e
living,lion,congruent,left,e
living,oak,congruent,left,e
living,shark,congruent,left,e
living,knob,congruent,right,i
living,marble,congruent,right,i
living,pebble,congruent,right,i
living,snowflake,congruent,right,i
living,bicycle,incongruent,left,i
living,cloud,incongruent,left,i
living,coat,incongruent,left,i
living,table,incongruent,left,i
living,goldfish,incongruent,right,e
living,lizard,incongruent,right,e
living,mushroom,incongruent,right,e
living,sparrow,incongruent,right,e
size,alligator,congruent,left,e
size,lion,congruent,left,e
size,oak,congruent,left,e
size,shark,congruent,left,e
size,knob,congruent,right,i
size,marble,congruent,right,i
size,pebble,congruent,right,i
size,snowflake,congruent,right,i
size,bicycle,incongruent,left,e
size,cloud,incongruent,left,e
size,coat,incongruent,left,e
size,table,incongruent,left,e
size,goldfish,incongruent,right,i
size,lizard,incongruent,right,i
size,mushroom,incongruent,right,i
size,sparrow,incongruent,right,i
